 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Brian B 	  The Lego Batman Movie is fucking spectacular and mind blowing, Batman was spectacular, Robin was spectacular, Alfred was spectacular, Barbara Gordon was spectacular, The Joker was spectacular better than Jared Leto Joker, Harley Quinn was good, the rest of the characters were spectacular, the first act was spectacular and Mind blowing, the third act was fucking spectacular and mind blowing, the visuals were spectacular, the score was spectacular, second favorite Batman movie of all time
 Jeremy G 	  Batman was the best character. Most relatable Batman to-date.
 trey s 	  Funny, enjoyable, and good for all ages. I would recommend it fully.
 Joey R 	  A bit boring in some spots but still a decent movie. The most decent DC movie since The Dark Knight!!
 Dave R 	  It was cute funny action packed had heart and Lego of course the hole movie was pretty good just as good as the Lego Movie. I enjoyed it its a good family movie at the same time as well.
 Matthew H 	  The Lego Batman Movie was not as funny as I had expected it to be. Another example of when all the best scenes are in the previews.
 Edgar R 	  the dark knight of Lego movies.
 Caleb M 	  A disappointment, to say the least. Started out strong but then forgot the original parody that it was going for. Instead of brilliant satire, constant digs at any and all other Batman films, and the great one-liners that only Arnett could pull off, the movie decided to take itself too seriously and turn into something it shouldn't have become. While the first thirty minutes were quipy, interesting, and funny, the rest of this movie was a sad representation of Batman. All the fresh reviews of Lego Batman must be about the animation solely, as the rest of the movie was a flop and deserves to find its way out of the theater quickly!It is unfortunate as I was was truly looking forward to this movie and thought it had every potential element to be a good one. Sadly, WB has lost any of its production prowess since its animated shows and needs to just let the movies go to Bad Robot or someone.
 Steve T 	  When I herd it takes a village in the third act, not a batman....eye-roll- guess it was not for me
 Jacob M 	  The Lego Batman Movie ReviewHoly Shit Batman what a breathe fresh air like finally a Really good DC Movie and a Batman movie. Will Arnet is fantastic as BatmanMichael Cera steals it as RobinRalph Fienes is a great AlfredRosario Dawson was a great Barbra Gordon Zach Galfanakis was a Joker especially when he just wants Batman to tell him he Hates himHe was better than Jared Leto Its one Consistent Tone unlike Cough the shitty DCEU CoughThe Opening scene is amazing The Cameos were Fucking awesome even though there's someone in the movie where a villain is voice by someone one before not in this one lol.The Animation is beautifulThe Music and Score is fantasticThe Scene where it makes fun of all the Batman movies Makes fun of the DCEU and Suicide Squad and stupid Suicide Squad is. (Same studio by the way)Channing Tatum as Superman is amazing really hope he gets his own movie. Overall: I really love this movie more than the Lego Movie it was fun and hilarious and again breathe of fresh air of how Depressing as shit BvS was and how Shit Suicide Squad is WB needed a win and it got one. Overall Grade: A+
 Jamie T 	  Had so much fun! I'm glad this movie redeemed Batman's status as the infamous caped-crusader we all love.
 Ercides R 	  Divertido e cheio de citaes de outros filmes.
 Hammy 0 	  OMG 91% - I say more like 15% this movie sucked big time, I fell asleep, it never ended, and the jokes are stupid. "SPOILER ALERT" - The worse part was when Batman was in his underwear, and falling in love with the commissioners daughter. I did not like any part of the movie, the plot was boring. I wouldn't watch this ever again, I'm surprised I survived this.
 Ben V 	  Trailer looked really great and fun! but maybe my expectations where really high! Some funny moments but very few in between, was too long anyway with not alot going on, wasn't boring done the job, but could/should of been better!
 Axl S 	  I really enjoyed the movie! I think if you are going to try and make BATMAN funny, you should do it right. They did a fantastic job!
 Johnson C 	  A clever parody to our favorite black caped crusader. Brilliant use of characters from both the Batman and Lego universes to create a hilarious masterpiece.
 Diego H 	  What a Blaaaaast! The Lego Batman movie is the Dc/Wb that we need
 Scott M 	  daft as fook which makes it really funny at times. enjoyed it and prob laughed at it more than the kids did. would say looks like a kids movie but plenty adult references that would go right over a kids head. cool also seeing various evil villian sorts all together in lego form not just from the usual batman films or progs.
